Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Confirmed,Death,,Continent,Population,,Contry,Populatio,Continen
Saint Vincent and the Grenadines,3,Both,22,All Ages,294,All causes,1,Number,2019,1025.963206,1148.444849,920.5531123,1026,1149,,North America,110947,,Romania,19237682,Europe
San Marino,3,Both,22,All Ages,294,All causes,1,Number,2019,301.5965509,402.0494364,217.1870161,302,403,,Europe,33938,,Russia,145934460,Europe
Sao Tome and Principe,3,Both,22,All Ages,294,All causes,1,Number,2019,1010.786811,1168.521668,847.8858431,1011,1169,,Africa,219161,,Rwanda,12952209,Africa
Saudi Arabia,3,Both,22,All Ages,294,All causes,1,Number,2019,128507.2244,156199.8221,105291.3008,128508,156200,,Asia,34813867,,Saint Kitts and Nevis,53192,North America
Senegal,3,Both,22,All Ages,294,All causes,1,Number,2019,89908.59918,104054.8718,78984.12279,89909,104055,,Africa,16743930,,Saint Lucia,183629,North America
Serbia,3,Both,22,All Ages,294,All causes,1,Number,2019,117629.1417,140571.9579,98106.49906,117630,140572,,Europe,6804596,,Saint Vincent and the Grenadines,110947,North America
Seychelles,3,Both,22,All Ages,294,All causes,1,Number,2019,797.2420076,870.6202974,730.8530691,798,871,,Africa,98340,,San Marino,33938,Europe
Sierra Leone,3,Both,22,All Ages,294,All causes,1,Number,2019,70113.92623,84585.25379,58190.23402,70114,84586,,Africa,7976985,,Sao Tome and Principe,219161,Africa
Singapore,3,Both,22,All Ages,294,All causes,1,Number,2019,23222.0421,23795.0359,22690.16445,23223,23796,,Asia,5850343,,Saudi Arabia,34813867,Asia
Slovakia,3,Both,22,All Ages,294,All causes,1,Number,2019,54548.94081,66191.88714,44699.28935,54549,66192,,Europe,5459643,,Senegal,16743930,Africa
Slovenia,3,Both,22,All Ages,294,All causes,1,Number,2019,20813.19495,25858.34013,16952.5269,20814,25859,,Europe,2078932,,Serbia,6804596,Europe
Somalia,3,Both,22,All Ages,294,All causes,1,Number,2019,184230.9163,235793.5373,147081.528,184231,235794,,Africa,15893219,,Seychelles,98340,Africa
South Africa,3,Both,22,All Ages,294,All causes,1,Number,2019,521802.3514,554966.5344,494683.2843,521803,554967,,Africa,59308690,,Sierra Leone,7976985,Africa
South Sudan,3,Both,22,All Ages,294,All causes,1,Number,2019,72739.09707,87477.71411,60980.39624,72740,87478,,Africa,11193729,,Singapore,5850343,Asia
Spain,3,Both,22,All Ages,294,All causes,1,Number,2019,428576.755,435907.7804,421704.5017,428577,435908,,Europe,46754783,,Slovakia,5459643,Europe
Sri Lanka,3,Both,22,All Ages,294,All causes,1,Number,2019,135633.3429,172648.6693,105316.2027,135634,172649,,Asia,21413250,,Slovenia,2078932,Europe
